CMDLINE ./webparser https://www.kabum.com.br/computadores/computador-gamer
MEM 41.554688 1540186250.3743
MEM 41.554688 1540186250.4751
MEM 41.554688 1540186250.5756
MEM 41.554688 1540186250.6760
MEM 41.554688 1540186250.7766
MEM 41.554688 1540186250.8773
MEM 41.812500 1540186250.9777
MEM 42.328125 1540186251.0783
MEM 43.359375 1540186251.1787
MEM 43.359375 1540186251.2792
MEM 43.359375 1540186251.3799
MEM 43.359375 1540186251.4804
MEM 43.359375 1540186251.5809
MEM 43.359375 1540186251.6812
MEM 43.359375 1540186251.7819
MEM 43.359375 1540186251.8822
MEM 43.359375 1540186251.9827
MEM 43.359375 1540186252.0831
MEM 43.359375 1540186252.1837
MEM 43.617188 1540186252.2843
MEM 43.617188 1540186252.3850
MEM 43.617188 1540186252.4857
MEM 43.617188 1540186252.5864
MEM 43.617188 1540186252.6867
MEM 43.617188 1540186252.7874
MEM 43.617188 1540186252.8881
MEM 43.617188 1540186252.9888
MEM 43.617188 1540186253.0896
MEM 43.617188 1540186253.1904
MEM 43.617188 1540186253.2911
MEM 43.617188 1540186253.3918
MEM 43.617188 1540186253.4925
MEM 43.617188 1540186253.5932
MEM 43.875000 1540186253.6936
MEM 44.390625 1540186253.7940
MEM 44.390625 1540186253.8947
MEM 44.390625 1540186253.9955
MEM 44.390625 1540186254.0962
MEM 44.390625 1540186254.1970
MEM 44.390625 1540186254.2977
MEM 44.390625 1540186254.3985
MEM 44.390625 1540186254.4993
MEM 44.390625 1540186254.6000
MEM 44.390625 1540186254.7004
MEM 44.390625 1540186254.8010
MEM 44.390625 1540186254.9019
MEM 44.390625 1540186255.0027
MEM 44.390625 1540186255.1034
MEM 44.390625 1540186255.2039
MEM 44.390625 1540186255.3045
MEM 44.390625 1540186255.4052
MEM 44.648438 1540186255.5059
MEM 44.648438 1540186255.6066
MEM 44.648438 1540186255.7071
MEM 44.648438 1540186255.8076
MEM 44.648438 1540186255.9083
MEM 44.648438 1540186256.0090
MEM 44.648438 1540186256.1096
MEM 44.648438 1540186256.2103
MEM 44.648438 1540186256.3109
MEM 44.648438 1540186256.4116
MEM 44.648438 1540186256.5120
MEM 44.648438 1540186256.6123
MEM 44.648438 1540186256.7127
MEM 44.648438 1540186256.8133
MEM 45.421875 1540186256.9138
MEM 45.679688 1540186257.0144
MEM 46.453125 1540186257.1148
MEM 46.710938 1540186257.2154
MEM 47.742188 1540186257.3158
MEM 47.742188 1540186257.4163
MEM 48.375000 1540186257.5166
MEM 48.886719 1540186257.6172
MEM 49.144531 1540186257.7176
MEM 50.433594 1540186257.8182
MEM 50.691406 1540186257.9186
MEM 51.464844 1540186258.0192
MEM 51.722656 1540186258.1196
MEM 52.496094 1540186258.2201
MEM 52.496094 1540186258.3208
MEM 52.753906 1540186258.4213
MEM 53.527344 1540186258.5219
MEM 53.527344 1540186258.6224
MEM 54.558594 1540186258.7228
MEM 54.558594 1540186258.8233
MEM 55.074219 1540186258.9238
MEM 55.589844 1540186259.0243
MEM 55.847656 1540186259.1247
MEM 56.621094 1540186259.2253
