CMDLINE ./webparser
MEM 34.972656 1540179915.0989
MEM 34.972656 1540179915.1995
MEM 34.972656 1540179915.3000
MEM 34.972656 1540179915.4006
MEM 34.972656 1540179915.5012
MEM 35.230469 1540179915.6018
MEM 35.230469 1540179915.7024
MEM 35.230469 1540179915.8027
MEM 35.746094 1540179915.9033
MEM 36.261719 1540179916.0036
MEM 36.777344 1540179916.1041
MEM 36.777344 1540179916.2046
MEM 37.550781 1540179916.3049
MEM 38.066406 1540179916.4054
MEM 38.324219 1540179916.5058
MEM 39.097656 1540179916.6063
MEM 39.097656 1540179916.7069
MEM 39.097656 1540179916.8075
MEM 39.097656 1540179916.9081
MEM 39.097656 1540179917.0087
MEM 39.097656 1540179917.1092
MEM 39.097656 1540179917.2099
MEM 39.097656 1540179917.3105
MEM 39.097656 1540179917.4112
MEM 39.097656 1540179917.5119
MEM 39.097656 1540179917.6126
MEM 39.097656 1540179917.7130
MEM 39.097656 1540179917.8134
MEM 39.097656 1540179917.9139
MEM 39.097656 1540179918.0143
MEM 39.097656 1540179918.1147
MEM 39.097656 1540179918.2151
MEM 39.097656 1540179918.3156
MEM 39.097656 1540179918.4160
MEM 39.097656 1540179918.5165
MEM 39.097656 1540179918.6170
MEM 39.097656 1540179918.7175
MEM 39.097656 1540179918.8180
MEM 39.097656 1540179918.9186
MEM 39.097656 1540179919.0192
MEM 39.097656 1540179919.1198
MEM 39.097656 1540179919.2203
MEM 39.097656 1540179919.3209
MEM 39.097656 1540179919.4215
MEM 39.097656 1540179919.5221
MEM 39.097656 1540179919.6228
MEM 39.097656 1540179919.7234
MEM 39.097656 1540179919.8241
MEM 39.097656 1540179919.9246
MEM 39.097656 1540179920.0251
MEM 39.355469 1540179920.1254
MEM 39.871094 1540179920.2259
MEM 39.871094 1540179920.3263
MEM 40.902344 1540179920.4267
MEM 40.902344 1540179920.5272
MEM 40.902344 1540179920.6276
MEM 40.902344 1540179920.7281
MEM 40.902344 1540179920.8285
MEM 40.902344 1540179920.9290
MEM 40.902344 1540179921.0295
MEM 40.902344 1540179921.1301
MEM 40.902344 1540179921.2306
MEM 40.902344 1540179921.3313
MEM 40.902344 1540179921.4319
MEM 41.160156 1540179921.5325
MEM 41.160156 1540179921.6331
MEM 41.933594 1540179921.7336
MEM 41.933594 1540179921.8342
MEM 42.964844 1540179921.9347
MEM 42.964844 1540179922.0353
MEM 43.222656 1540179922.1357
MEM 43.996094 1540179922.2363
MEM 43.996094 1540179922.3368
MEM 43.996094 1540179922.4373
MEM 43.996094 1540179922.5379
MEM 43.996094 1540179922.6385
MEM 43.996094 1540179922.7391
MEM 43.996094 1540179922.8397
MEM 43.996094 1540179922.9404
MEM 43.996094 1540179923.0411
MEM 43.996094 1540179923.1418
MEM 43.996094 1540179923.2425
MEM 43.996094 1540179923.3431
MEM 43.996094 1540179923.4438
MEM 43.996094 1540179923.5445
MEM 43.996094 1540179923.6451
MEM 43.996094 1540179923.7457
MEM 43.996094 1540179923.8464
MEM 43.996094 1540179923.9470
MEM 43.996094 1540179924.0477
MEM 43.996094 1540179924.1484
MEM 43.996094 1540179924.2492
MEM 43.996094 1540179924.3499
MEM 43.996094 1540179924.4506
MEM 43.996094 1540179924.5514
MEM 43.996094 1540179924.6521
MEM 43.996094 1540179924.7527
MEM 43.996094 1540179924.8535
MEM 43.996094 1540179924.9542
MEM 43.996094 1540179925.0546
MEM 44.253906 1540179925.1550
MEM 45.027344 1540179925.2555
MEM 45.285156 1540179925.3559
MEM 46.058594 1540179925.4563
MEM 46.058594 1540179925.5568
MEM 46.574219 1540179925.6573
MEM 47.089844 1540179925.7578
MEM 47.347656 1540179925.8583
MEM 48.281250 1540179925.9587
MEM 48.281250 1540179926.0593
MEM 48.796875 1540179926.1598
MEM 50.085938 1540179926.2603
MEM 50.085938 1540179926.3607
MEM 50.343750 1540179926.4612
MEM 51.117188 1540179926.5617
MEM 51.117188 1540179926.6621
MEM 51.117188 1540179926.7626
MEM 51.632812 1540179926.8630
MEM 52.148438 1540179926.9635
MEM 52.406250 1540179927.0640
MEM 53.179688 1540179927.1645
MEM 53.437500 1540179927.2649
MEM 54.210938 1540179927.3653
MEM 54.210938 1540179927.4657
MEM 54.468750 1540179927.5661
MEM 55.242188 1540179927.6666
MEM 55.242188 1540179927.7671
MEM 55.500000 1540179927.8676
MEM 56.273438 1540179927.9680
MEM 56.273438 1540179928.0685
MEM 57.304688 1540179928.1689
MEM 57.304688 1540179928.2694
MEM 57.304688 1540179928.3699
MEM 57.562500 1540179928.4703
MEM 58.335938 1540179928.5707
MEM 58.335938 1540179928.6713
MEM 59.367188 1540179928.7716
MEM 59.367188 1540179928.8721
MEM 59.625000 1540179928.9725
MEM 60.398438 1540179929.0730
MEM 60.914062 1540179929.1734
MEM 61.171875 1540179929.2739
MEM 61.945312 1540179929.3744
MEM 62.460938 1540179929.4749
MEM 62.976562 1540179929.5753
MEM 63.492188 1540179929.6757
MEM 63.750000 1540179929.7762
MEM 64.523438 1540179929.8767
MEM 64.523438 1540179929.9772
MEM 65.554688 1540179930.0776
MEM 65.554688 1540179930.1781
MEM 66.328125 1540179930.2785
MEM 66.585938 1540179930.3789
MEM 66.585938 1540179930.4793
MEM 66.585938 1540179930.5796
MEM 66.843750 1540179930.6799
MEM 67.617188 1540179930.7802
MEM 67.875000 1540179930.8806
MEM 68.390625 1540179930.9809
MEM 68.906250 1540179931.0813
MEM 69.421875 1540179931.1818
MEM 69.679688 1540179931.2822
MEM 70.453125 1540179931.3827
MEM 70.453125 1540179931.4832
MEM 70.710938 1540179931.5836
MEM 71.484375 1540179931.6841
